query_id,query,query_category,system_output,remarks
Q001,Why do customers request refunds?,Initial Causal Query,"Top factors: 1. Incomplete or Missing Delivery (freq=6, coverage=3, sim=0.389)","Open-ended causal inquiry, should retrieve diverse evidence"
Q011,Show me examples of Product Defects,Evidence Request,Recent evidence: 1. Transcript 1183-9381-7716-7043 (Turns 1-3): Customer: Perfect. And what about my original payment? Agent: Your original order has been fully refunded. The store pickup will be at no charge as our apology for this situation. Customer: You're giv... 2. Transcript 5800-6031-4741-515...,Direct evidence request for specific factor
Q016,Compare Product Defects vs Billing Issues,Comparative Query,================================================================================ COMPARATIVE ANALYSIS ================================================================================ Comparing: 'Product Defects' vs 'Billing Issues' Metric Product Defects Billing Issues ------------------------------...,Two-factor comparison
UNKNOWN,Are there more cases of delivery problems?,new_causal_query,"Top factors: 1. Incomplete or Missing Delivery (freq=6, coverage=3, sim=0.422)",
Q001,Why do customers request refunds?,Initial Causal Query,"Top factors: 1. Incomplete or Missing Delivery (freq=6, coverage=3, sim=0.389)","Open-ended causal inquiry, should retrieve diverse evidence"
Q011,Show me examples of Product Defects,Evidence Request,Recent evidence: 1. Transcript 1183-9381-7716-7043 (Turns 1-3): Customer: Perfect. And what about my original payment? Agent: Your original order has been fully refunded. The store pickup will be at no charge as our apology for this situation. Customer: You're giv... 2. Transcript 5800-6031-4741-515...,Direct evidence request for specific factor
Q016,Compare Product Defects vs Billing Issues,Comparative Query,================================================================================ COMPARATIVE ANALYSIS ================================================================================ Comparing: 'Product Defects' vs 'Billing Issues' Metric Product Defects Billing Issues ------------------------------...,Two-factor comparison
UNKNOWN,Are there more cases of delivery problems?,new_causal_query,"Top factors: 1. Incomplete or Missing Delivery (freq=6, coverage=3, sim=0.422)",
UNKNOWN,Why did I not receive my delivery?,new_causal_query,"Top factors: 1. Incomplete or Missing Delivery (freq=9, coverage=4, sim=0.544); 2. Incomplete or Missing Delivery (freq=1, coverage=1, sim=0.565)",
Q001,Why do customers request refunds?,Initial Causal Query,"Top factors: 1. Incomplete or Missing Delivery (freq=6, coverage=3, sim=0.389)","Open-ended causal inquiry, should retrieve diverse evidence"
Q011,Show me examples of Product Defects,Evidence Request,Recent evidence: 1. Transcript 1183-9381-7716-7043 (Turns 1-3): Customer: Perfect. And what about my original payment? Agent: Your original order has been fully refunded. The store pickup will be at no charge as our apology for this situation. Customer: You're giv... 2. Transcript 5800-6031-4741-515...,Direct evidence request for specific factor
Q016,Compare Product Defects vs Billing Issues,Comparative Query,================================================================================ COMPARATIVE ANALYSIS ================================================================================ Comparing: 'Product Defects' vs 'Billing Issues' Metric Product Defects Billing Issues ------------------------------...,Two-factor comparison
UNKNOWN,Are there more cases of delivery problems?,new_causal_query,"Top factors: 1. Incomplete or Missing Delivery (freq=6, coverage=3, sim=0.422)",
